No	カードパック	職業	種類	カード名1		カード名2	カード名3	コスト	攻撃力	体力	系統	画像	レア度	シンクロ	熟練度	ダンジョン	おうえん	スキルリンク	占い	パワフルバッジ	BET	絶好調	必殺技	メタルボディ
63	05_勇気の英雄譚	共通	ユニット	【あんこくまどう】	【あんこくまどう	あんこくまどう	あんこくまどう	5	3	6			2											
64	11_英雄たちの凱旋	魔剣士	建物	【アンデッドガーデン】	【アンデッドガーデン	アンデッドガーデン	アンデッドガーデン	1		1	建物		1			a								
65	04もりもり	魔剣士	ユニット(トークン)	【アンデッドマン】	【アンデッドマン	アンデッドマン	アンデッドマン	1	1	2	ゾンビ		0											
66	03不死鳥	共通	ユニット	【アントベア】	【アントベア	アントベア	アントベア	1	1	2			1											
67	05_勇気の英雄譚	僧侶	ユニット	【アンドレアル】	【アンドレアル	アンドレアル	アンドレアル	8	5	5	ドラゴン		2					a						
68	01スタンダード	共通	ユニット	【アンルシア】	【アンルシア	アンルシア	アンルシア	5	5	4	冒険者		3											
69	12_そして伝説は	占い師	ユニット	【イーブルアイズ】	【イーブルアイズ	イーブルアイズ	イーブルアイズ	4	3	4			1		a									
70	01スタンダード	僧侶	ユニット	【イーブルフライ】	【イーブルフライ	イーブルフライ	イーブルフライ	4	3	4			1											
71	07_光と闇の	武闘家	ユニット	【イエティ】	【イエティ	イエティ	イエティ	3	1	5			2											
72	03不死鳥	共通	特技(トークン)	【イエローオーブ】	【イエローオーブ	イエローオーブ	イエローオーブ	3					2											
73	01スタンダード	共通	ユニット	【イエローシックル】	【イエローシックル	イエローシックル	イエローシックル	2	1	4			0											
74	11_英雄たちの凱旋	武闘家	ユニット	【イエローファット】	【イエローファット	イエローファット	イエローファット	5	5	6	ドラゴン		2											
75	00ベーシック	魔法使い	特技	【イオ】	【イオ	イオ	イオ	2					0											
76	00ベーシック	魔法使い	特技	【イオナズン】	【イオナズン	イオナズン	イオナズン	7					1											
77	01スタンダード	商人	特技	【いかずちの杖】	【いかずちの杖	いかずちの杖	いかずちの杖	4					1											
78	10_破壊と創造	共通	ユニット	【イザヤール】	【イザヤール	イザヤール	イザヤール	3	3	3	冒険者		3											
79	10_破壊と創造	僧侶	ユニット	【いしにんぎょう】	【いしにんぎょう	いしにんぎょう	いしにんぎょう	3	3	3	物質		1											
80	04もりもり	武闘家	武器	【いしのツメ】	【いしのツメ	いしのツメ	いしのツメ	3	1	2			0											
81	13_星降りの決戦	魔剣士	ユニット	【イズライール】	【イズライール	イズライール	イズライール	7	5	5	あくま		2											
82	13_星降りの決戦	共通	ユニット	【いたずらデビル】	【いたずらデビル	いたずらデビル	いたずらデビル	1	2	2	あくま		0											
83	01スタンダード	共通	ユニット	【いたずらもぐら】	【いたずらもぐら	いたずらもぐら	いたずらもぐら	1	1	1			0											
84	10_破壊と創造	商人	ユニット(トークン)	【イチゴ爆弾】	【イチゴ爆弾	イチゴ爆弾	イチゴ爆弾	1	0	3			2											
85	00ベーシック	共通	ユニット	【いっかくうさぎ】	【いっかくうさぎ	いっかくうさぎ	いっかくうさぎ	2	2	1			0											
86	04もりもり	占い師	ユニット	【いっかく竜】	【いっかく竜	いっかく竜	いっかく竜	1	2	2	ドラゴン		1											
87	00ベーシック	魔剣士	特技	【いてつくはどう】	【いてつくはどう	いてつくはどう	いてつくはどう	2					1											
88	10_破壊と創造	僧侶	ユニット	【いどまじん】	【いどまじん	いどまじん	いどまじん	3	1	5	物質		1											
89	12_そして伝説は	商人	ユニット	【いどまねき】	【いどまねき	いどまねき	いどまねき	1	1	3	物質		1											
90	07_光と闇の	戦士	武器	【いなずまのけん】	【いなずまのけん	いなずまのけん	いなずまのけん	7	4	2			2											
91	09_再会と誓い	戦士	ユニット	【いなずまビリー】	【いなずまビリー	いなずまビリー	いなずまビリー	3	1	3			1											
92	00ベーシック	商人	特技(トークン)	道具:【いのちのきのみ】	道具:【いのちのきのみ	いのちのきのみ	いのちのきのみ	0					0											
93	07_光と闇の	共通	ユニット	【イノブタマン】	【イノブタマン	イノブタマン	イノブタマン	2	2	2			0											
94	08_カジノ	占い師	特技(トークン)	【いのりのゆびわ】	【いのりのゆびわ	いのりのゆびわ	いのりのゆびわ	0					2											
95	05_勇気の英雄譚	占い師	ユニット(トークン)	【いばらドラゴン】	【いばらドラゴン	いばらドラゴン	いばらドラゴン	3	3	3	ドラゴン		0											
96	12_そして伝説は	武闘家	ユニット	【イビルビースト】	【イビルビースト	イビルビースト	イビルビースト	3	2	4			2											
97	10_破壊と創造	占い師	ユニット	【イブール】	【イブール	イブール	イブール	5	5	5	ドラゴン		3											
98	10_破壊と創造	占い師	特技(トークン)	【イブールの本】	【イブールの本	イブールの本	イブールの本	0					2											
99	06_小さな希望の	商人	特技	【いやしのうでわ】	【いやしのうでわ	いやしのうでわ	いやしのうでわ	1					0											
100	03不死鳥	僧侶	特技	【いやしの雨】	【いやしの雨	いやしの雨	いやしの雨	1					0											
101	02力の咆哮	僧侶	特技	【いやしの風】	【いやしの風	いやしの風	いやしの風	1					0				a							
102	13_星降りの決戦	共通	英雄	【イル＆ルカ】	【イル＆ルカ	イル＆ルカ	イル＆ルカ	1					3											
103	01スタンダード	占い師	ユニット	【インキュバス】	【インキュバス	インキュバス	インキュバス	3	3	3			0											
104	02力の咆哮	占い師	特技	【インスピレーション】	【インスピレーション	インスピレーション	インスピレーション	2					0				a							
105	08_カジノ	占い師	ユニット	【インプ】	【インプ	インプ	インプ	2	2	3	あくま		2								a			
106	08_カジノ	占い師	ユニット	【インプケイオス】	【インプケイオス	インプケイオス	インプケイオス	4	4	4	あくま		2											
107	00ベーシック	魔剣士	ユニット	【ウィッチネイル】	【ウィッチネイル	ウィッチネイル	ウィッチネイル	3	2	3	ゾンビ		1											
108	02力の咆哮	魔法使い	ユニット	【ウィッチレディ】	【ウィッチレディ	ウィッチレディ	ウィッチレディ	3	3	3	あくま		0											
109	05_勇気の英雄譚	僧侶	ユニット	【ウイングタイガー】	【ウイングタイガー	ウイングタイガー	ウイングタイガー	5	4	5			0											
110	11_英雄たちの凱旋	武闘家	特技	【ウィングブロウ】	【ウィングブロウ	ウィングブロウ	ウィングブロウ	2					0											
111	02力の咆哮	魔法使い	ユニット	【ウインドマージ】	【ウインドマージ	ウインドマージ	ウインドマージ	6	1	4	ゾンビ		1											
112	01スタンダード	共通	ユニット	【うごくせきぞう】	【うごくせきぞう	うごくせきぞう	うごくせきぞう	5	6	7	物質		1											
113	11_英雄たちの凱旋	占い師	ユニット	【うずしおキング】	【うずしおキング	うずしおキング	うずしおキング	3	2	5			2											
114	12_そして伝説は	共通	建物(トークン)	【うす暗き獣の洞くつ】	【うす暗き獣の洞くつ	うす暗き獣の洞くつ	うす暗き獣の洞くつ	1		1	地図		0			a								
115	06_小さな希望の	僧侶	ユニット	【ウドラー】	【ウドラー	ウドラー	ウドラー	6	4	6			2	a										
116	07_光と闇の	戦士	ユニット	【ウパソルジャー】	【ウパソルジャー	ウパソルジャー	ウパソルジャー	3	1	5			1									a		
117	04もりもり	共通	特技(トークン)	【うまのふん】	【うまのふん	うまのふん	うまのふん	1					0											
118	10_破壊と創造	盗賊	ユニット	【うみうし】	【うみうし	うみうし	うみうし	2	2	1			0											
119	02力の咆哮	共通	ユニット	【うみぼうず】	【うみぼうず	うみぼうず	うみぼうず	4	3	3			1											
120	10_破壊と創造	盗賊	ユニット	【うらぎりこぞう】	【うらぎりこぞう	うらぎりこぞう	うらぎりこぞう	1	1	3			0											
121	13_星降りの決戦	共通	ユニット(トークン)	【ウルトラスライム】	【ウルトラスライム	ウルトラスライム	ウルトラスライム	6	0	1	スライム		2											
122	09_再会と誓い	共通	ユニット	【ウルノーガ＆ウルナーガ】	【ウルノーガ＆ウルナーガ	ウルノーガ＆ウルナーガ	ウルノーガ＆ウルナーガ	7	6	6	魔王		3											
123	08_カジノ	共通	ユニット	【ウルベア魔神兵】	【ウルベア魔神兵	ウルベア魔神兵	ウルベア魔神兵	8	5	8	物質		2								a			
124	12_そして伝説は	武闘家	ユニット	【エアラット】	【エアラット	エアラット	エアラット	1	1	2			0											
125	01スタンダード	共通	ユニット	【エスターク】	【エスターク	エスターク	エスターク	6	8	6	魔王		3											
126	04もりもり	共通	ユニット	【エステラ】	【エステラ	エステラ	エステラ	4	2	6	冒険者		3											
127	04もりもり	共通	ユニット(トークン)	【エステラ:竜化の術】	【エステラ:竜化の術	エステラ:竜化の術	エステラ:竜化の術	9	2	8	ドラゴン		3											
128	07_光と闇の	魔剣士	ユニット	【エッグラ＆チキーラ】	【エッグラ＆チキーラ	エッグラ＆チキーラ	エッグラ＆チキーラ	4	4	5			3											
129	04もりもり	共通	特技(トークン)	【エッチな本】	【エッチな本	エッチな本	エッチな本	1					2											
130	11_英雄たちの凱旋	盗賊	ユニット(トークン)	【エテポンゲ】	【エテポンゲ	エテポンゲ	エテポンゲ	1	1	1			2											
131	08_カジノ	占い師	特技	【エドガンの錬金術】	【エドガンの錬金術	エドガンの錬金術	エドガンの錬金術	2					1						a					
132	06_小さな希望の	共通	ユニット	【エビルアップル】	【エビルアップル	エビルアップル	エビルアップル	2	2	1			1											
133	05_勇気の英雄譚	戦士	ユニット	【エビルスピリッツ】	【エビルスピリッツ	エビルスピリッツ	エビルスピリッツ	2	2	3	ゾンビ		1											
134	01スタンダード	僧侶	ユニット	【エビルチクリン】	【エビルチクリン	エビルチクリン	エビルチクリン	4	2	6	物質		1											
135	13_星降りの決戦	商人	ユニット	【エビルチャリオット】	【エビルチャリオット	エビルチャリオット	エビルチャリオット	3	3	4	物質		1											
136	01スタンダード	占い師	ユニット	【エビルドライブ】	【エビルドライブ	エビルドライブ	エビルドライブ	4	2	5	ゾンビ		1						a					
137	01スタンダード	僧侶	ユニット	【エビルトレント】	【エビルトレント	エビルトレント	エビルトレント	6	4	6			2											
138	12_そして伝説は	盗賊	ユニット	【エビルハムスター】	【エビルハムスター	エビルハムスター	エビルハムスター	6	3	3			0											
139	12_そして伝説は	魔剣士	ユニット	【エビルフランケン】	【エビルフランケン	エビルフランケン	エビルフランケン	6	4	4			2		a									
140	07_光と闇の	魔剣士	ユニット	【エビルプリースト】	【エビルプリースト	エビルプリースト	エビルプリースト	13	4	6	魔王		3											
141	01スタンダード	共通	ユニット	【エビルホーク】	【エビルホーク	エビルホーク	エビルホーク	6	6	4			1											
142	12_そして伝説は	共通	ユニット	【エビルポット】	【エビルポット	エビルポット	エビルポット	2	1	2	物質		1		a		a							
143	06_小さな希望の	魔法使い	ユニット	【エビルマージ】	【エビルマージ	エビルマージ	エビルマージ	6	2	6			2											
144	04もりもり	共通	ユニット	【エビルマスター】	【エビルマスター	エビルマスター	エビルマスター	3	2	2			0											
145	09_再会と誓い	盗賊	ユニット	【エマ】	【エマ	エマ	エマ	2	1	2	冒険者		3											
146	06_小さな希望の	共通	ユニット	【エメラルドーン】	【エメラルドーン	エメラルドーン	エメラルドーン	7	6	6	あくま		0	a										
147	01スタンダード	共通	ユニット	【エリミネーター】	【エリミネーター	エリミネーター	エリミネーター	5	5	3			1											
148	10_破壊と創造	共通	ユニット	【エルギオス】	【エルギオス	エルギオス	エルギオス	7	5	5	魔王		3											
149	05_勇気の英雄譚	僧侶	武器	【エロスの弓】	【エロスの弓	エロスの弓	エロスの弓	3	2	2			2				a							
150	04もりもり	武闘家	ユニット	【エンゼルスライム】	【エンゼルスライム	エンゼルスライム	エンゼルスライム	4	3	4	スライム		1											
151	03不死鳥	商人	ユニット	【エンタシスマン】	【エンタシスマン	エンタシスマン	エンタシスマン	5	3	4	物質		0											
152	12_そして伝説は	共通	ユニット	【エンプーサ】	【エンプーサ	エンプーサ	エンプーサ	4	4	4	あくま		1											
153	13_星降りの決戦	占い師	ユニット	【えんまのつかい】	【えんまのつかい	えんまのつかい	えんまのつかい	4	4	4	あくま		0											
154	10_破壊と創造	共通	建物(トークン)	【オアシス】	【オアシス	オアシス	オアシス	2		2	建物B		2											
155	01スタンダード	武闘家	武器	【おうごんのつめ】	【おうごんのつめ	おうごんのつめ	おうごんのつめ	3	5	2			2											
156	06_小さな希望の	戦士	ユニット	【おおありくい】	【おおありくい	おおありくい	おおありくい	1	1	3			1											
157	03不死鳥	占い師	ユニット	【オーガ―】	【オーガ―	オーガ―	オーガ―	3	4	3	あくま		1											
158	05_勇気の英雄譚	共通	ユニット	【オーガキング】	【オーガキング	オーガキング	オーガキング	8	7	8			0											
159	10_破壊と創造	魔剣士	ユニット	【オーガソルジャー】	【オーガソルジャー	オーガソルジャー	オーガソルジャー	3	4	3	あくま		0											
160	01スタンダード	共通	ユニット(トークン)	【オオカミ】	【オオカミ	オオカミ	オオカミ	3	3	1			1											
161	01スタンダード	魔剣士	ユニット	【おおがらす】	【おおがらす	おおがらす	おおがらす	2	1	3			0											
162	01スタンダード	共通	ユニット	【おおきづち】	【おおきづち	おおきづち	おおきづち	2	1	3			0											
163	01スタンダード	共通	ユニット	【オーク】	【オーク	オーク	オーク	2	2	3			0											
164	01スタンダード	共通	ユニット	【オークキング】	【オークキング	オークキング	オークキング	4	4	4			1											
165	01スタンダード	共通	ユニット	【おおくちばし】	【おおくちばし	おおくちばし	おおくちばし	1	2	1			0											
166	00ベーシック	盗賊	ユニット	【オークデビル】	【オークデビル	オークデビル	オークデビル	4	3	6			1											
167	03不死鳥	共通	ユニット	【おおさそり】	【おおさそり	おおさそり	おおさそり	1	1	2			0											
168	01スタンダード	商人	ユニット	【オーシャンクロー】	【オーシャンクロー	オーシャンクロー	オーシャンクロー	5	3	4			1											
169	05_勇気の英雄譚	僧侶	ユニット	【おおドラキー】	【おおドラキー	おおドラキー	おおドラキー	2	2	2			0											
170	10_破壊と創造	盗賊	ユニット(トークン)	【おおなめくじ】	【おおなめくじ	おおなめくじ	おおなめくじ	1	1	2			0											
171	10_破壊と創造	武闘家	ユニット	【おおにわとり】	【おおにわとり	おおにわとり	おおにわとり	2	3	2			2											
172	10_破壊と創造	商人	ユニット	【おおねずみ】	【おおねずみ	おおねずみ	おおねずみ	3	2	2			1											
173	12_そして伝説は	魔剣士	ユニット	【おおみみず】	【おおみみず	おおみみず	おおみみず	2	2	3			0											
174	05_勇気の英雄譚	共通	ユニット	【おおめだま】	【おおめだま	おおめだま	おおめだま	2	3	2	あくま		2											
175	09_再会と誓い	武闘家	武器	【オオワシのツメ】	【オオワシのツメ	オオワシのツメ	オオワシのツメ	2	1	3			1											
176	02力の咆哮	戦士	ユニット	【オクトセントリー】	【オクトセントリー	オクトセントリー	オクトセントリー	5	5	5			1											
177	05_勇気の英雄譚	共通	ユニット	【オコボルト】	【オコボルト	オコボルト	オコボルト	2	3	2			0											
178	03不死鳥	戦士	特技	【おしゃれなバンダナ】	【おしゃれなバンダナ	おしゃれなバンダナ	おしゃれなバンダナ	6					1											
179	11_英雄たちの凱旋	盗賊	特技	【おたからさがし】	【おたからさがし	おたからさがし	おたからさがし	7					2											
180	06_小さな希望の	商人	特技	【おたからさがしのすず】	【おたからさがしのすず	おたからさがしのすず	おたからさがしのすず	2					1											
181	00ベーシック	武闘家	特技	【おたけび】	【おたけび	おたけび	おたけび	2					1											
182	00ベーシック	商人	ユニット	【おどるほうせき】	【おどるほうせき	おどるほうせき	おどるほうせき	5	3	3	物質		1											
183	06_小さな希望の	商人	武器	【おどる宝石のそろばん】	【おどる宝石のそろばん	おどる宝石のそろばん	おどる宝石のそろばん	2	1	3			1											
184	01スタンダード	共通	ユニット	【オニオーン】	【オニオーン	オニオーン	オニオーン	1	1	2			0											
185	01スタンダード	戦士	ユニット	【おにこぞう】	【おにこぞう	おにこぞう	おにこぞう	3	2	2			2											
186	00ベーシック	共通	ユニット	【おにこんぼう】	【おにこんぼう	おにこんぼう	おにこんぼう	7	7	7	ドラゴン		0											
187	09_再会と誓い	魔剣士	ユニット	【おにびドングリ】	【おにびドングリ	おにびドングリ	おにびドングリ	2	2	2	物質		1											
188	11_英雄たちの凱旋	共通	ユニット	【オニムカデ】	【オニムカデ	オニムカデ	オニムカデ	1	1	1			2											
189	12_そして伝説は	戦士	ユニット	【おばけありくい】	【おばけありくい	おばけありくい	おばけありくい	1	1	1			2		a									
190	01スタンダード	共通	ユニット	【おばけキノコ】	【おばけキノコ	おばけキノコ	おばけキノコ	2	2	2			0											
191	01スタンダード	共通	ユニット	【おばけキャンドル】	【おばけキャンドル	おばけキャンドル	おばけキャンドル	1	2	1	物質		0											
192	01スタンダード	占い師	ユニット	【おばけトマト】	【おばけトマト	おばけトマト	おばけトマト	5	4	4			1						a					
193	07_光と闇の	商人	ユニット	【おばけねずみ】	【おばけねずみ	おばけねずみ	おばけねずみ	3	1	3			0											
194	09_再会と誓い	商人	ユニット	【おばけパラソル】	【おばけパラソル	おばけパラソル	おばけパラソル	2	3	2	物質		2											
195	01スタンダード	共通	ユニット	【おばけヒトデ】	【おばけヒトデ	おばけヒトデ	おばけヒトデ	1	1	1			0											
196	09_再会と誓い	僧侶	ユニット	【オベルジーヌ】	【オベルジーヌ	オベルジーヌ	オベルジーヌ	2	2	2			1											
197	08_カジノ	戦士	特技	【おまもりコイン】	【おまもりコイン	おまもりコイン	おまもりコイン	3					1											
198	01スタンダード	共通	ユニット	【おむつっこり】	【おむつっこり	おむつっこり	おむつっこり	2	3	2			0											
199	11_英雄たちの凱旋	戦士	ユニット	【オリハルゴン】	【オリハルゴン	オリハルゴン	オリハルゴン	7	6	7	ドラゴン		3											
200	04もりもり	共通	ユニット	【オルゴ・デミーラ】	【オルゴ・デミーラ	オルゴ・デミーラ	オルゴ・デミーラ	4	4	4	魔王		3											
201	04もりもり	共通	ユニット(トークン)	【オルゴ・デミーラ：第2形態】	【オルゴ・デミーラ：第2形態	オルゴ・デミーラ：第2形態	オルゴ・デミーラ：第2形態	5	3	5	魔王		3											
202	04もりもり	共通	ユニット(トークン)	【オルゴ・デミーラ：第3形態】	【オルゴ・デミーラ：第3形態	オルゴ・デミーラ：第3形態	オルゴ・デミーラ：第3形態	6	6	3	魔王		3											
203	04もりもり	共通	ユニット(トークン)	【オルゴ・デミーラ：第4形態】	【オルゴ・デミーラ：第4形態	オルゴ・デミーラ：第4形態	オルゴ・デミーラ：第4形態	7	3	9	魔王		3											
204	12_そして伝説は	戦士	ユニット	【オルテガ】	【オルテガ	オルテガ	オルテガ	3	3	3	冒険者		3											
205	10_破壊と創造	占い師	建物	【お告げのほこら】	【お告げのほこら	お告げのほこら	お告げのほこら	1		7	建物A		1											
206	02力の咆哮	共通	ユニット	【ガーゴイル】	【ガーゴイル	ガーゴイル	ガーゴイル	4	4	3			0				a							
207	04もりもり	共通	ユニット	【カーディナルナイト】	【カーディナルナイト	カーディナルナイト	カーディナルナイト	4	4	4	あくま		2											
208	01スタンダード	魔剣士	ユニット	【がいこつ】	【がいこつ	がいこつ	がいこつ	1	1	2	ゾンビ		0											
209	06_小さな希望の	共通	ユニット	【がいこつへい】	【がいこつへい	がいこつへい	がいこつへい	1	2	1	ゾンビ		0											
210	01スタンダード	武闘家	特技	【かいしんの息吹】	【かいしんの息吹	かいしんの息吹	かいしんの息吹	3					0											
211	10_破壊と創造	盗賊	ユニット	【かいぞくウーパー】	【かいぞくウーパー	かいぞくウーパー	かいぞくウーパー	3	2	3			1											
212	09_再会と誓い	盗賊	特技	【カイロスハント】	【カイロスハント	カイロスハント	カイロスハント	0					1											
213	13_星降りの決戦	魔法使い	特技	【かえんのいき】	【かえんのいき	かえんのいき	かえんのいき	2					2											
214	03不死鳥	共通	ユニット	【かえんムカデ】	【かえんムカデ	かえんムカデ	かえんムカデ	4	2	2			2											
215	03不死鳥	戦士	特技	【かえん斬り】	【かえん斬り	かえん斬り	かえん斬り	2					0											
216	13_星降りの決戦	商人	ユニット	【ガオン】	【ガオン	ガオン	ガオン	2	3	2	物質		0											
